,Brand Name,Smartphone name,Colour,RAM,Storage(ROM),Primary Camera,Secondary Camera,Display Size,Battery Capacity,Price,Product URL
0,OnePlus,"OnePlus Nord CE 2 5G (Bahama Blue, 128 GB)  (8 GB RAM)",-,,,64MP Rear Camera,-,16.33 cm (6.43 inch) Display,4500 mAh Battery,"₹21,988",https://www.flipkart.com/oneplus-nord-ce-2-5g-bahama-blue-128-gb/p/itm2a9883679c57c?pid=MOBGJMUH64MTF6PK&lid=LSTMOBGJMUH64MTF6PKNK4ESK&marketplace=FLIPKART&q=Oneplus+Nord%2C+pixel+4A&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=5f1e0d25-8c85-48ae-a0a2-1be8c7f7d913.MOBGJMUH64MTF6PK.SEARCH&ppt=hp&ppn=homepage&ssid=p5u4rj61c00000001708694072821&qH=51e22a8c2f127b5e
1,OnePlus,"OnePlus Nord CE 2 5G (Gray Mirror, 128 GB)  (8 GB RAM)",-,-,-,-,-,-,-,-,https://www.flipkart.com/oneplus-nord-ce-2-5g-gray-mirror-128-gb/p/itm2a9883679c57c?pid=MOBGDHWMFQBKFV5F&lid=LSTMOBGDHWMFQBKFV5FEPMV1S&marketplace=FLIPKART&q=Oneplus+Nord%2C+pixel+4A&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=5f1e0d25-8c85-48ae-a0a2-1be8c7f7d913.MOBGDHWMFQBKFV5F.SEARCH&ppt=hp&ppn=homepage&ssid=p5u4rj61c00000001708694072821&qH=51e22a8c2f127b5e
2,OnePlus,"OnePlus Nord CE 2 5G (Bahama Blue, 128 GB)  (6 GB RAM)",-,,,64MP Rear Camera,-,16.33 cm (6.43 inch) Display,4500 mAh Battery,-,https://www.flipkart.com/oneplus-nord-ce-2-5g-bahama-blue-128-gb/p/itmbacb9b73dc096?pid=MOBGJMUHBKZDVJQX&lid=LSTMOBGJMUHBKZDVJQXAVEHPB&marketplace=FLIPKART&q=Oneplus+Nord%2C+pixel+4A&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=5f1e0d25-8c85-48ae-a0a2-1be8c7f7d913.MOBGJMUHBKZDVJQX.SEARCH&ppt=hp&ppn=homepage&ssid=p5u4rj61c00000001708694072821&qH=51e22a8c2f127b5e
3,OnePlus,"OnePlus Nord (Blue Marble, 128 GB)  (8 GB RAM)",Blue Marble,-,-,48MP + 8MP | 32MP + 8MP Dual Front Camera,,16.36 cm (6.44 inch) Full HD+ Display,4115 mAh Battery,-,https://www.flipkart.com/oneplus-nord-blue-marble-128-gb/p/itm3f93c90430130?pid=MOBFUE5JWYDZX6HX&lid=LSTMOBFUE5JWYDZX6HXVKC6BE&marketplace=FLIPKART&q=Oneplus+Nord%2C+pixel+4A&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=5f1e0d25-8c85-48ae-a0a2-1be8c7f7d913.MOBFUE5JWYDZX6HX.SEARCH&ppt=hp&ppn=homepage&ssid=p5u4rj61c00000001708694072821&qH=51e22a8c2f127b5e
4,OnePlus,"OnePlus Nord (Gray Onyx, 128 GB)  (8 GB RAM)",Gray Onyx,-,-,48MP + 8MP | 32MP + 8MP Dual Front Camera,,16.36 cm (6.44 inch) Full HD+ Display,4115 mAh Battery,"₹24,600",https://www.flipkart.com/oneplus-nord-gray-onyx-128-gb/p/itm3f93c90430130?pid=MOBFUE5HW4XUUGBN&lid=LSTMOBFUE5HW4XUUGBNRL8OX6&marketplace=FLIPKART&q=Oneplus+Nord%2C+pixel+4A&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=5f1e0d25-8c85-48ae-a0a2-1be8c7f7d913.MOBFUE5HW4XUUGBN.SEARCH&ppt=hp&ppn=homepage&ssid=p5u4rj61c00000001708694072821&qH=51e22a8c2f127b5e
5,OnePlus,"OnePlus Nord (Blue Marble, 256 GB)  (12 GB RAM)",Blue Marble,-,-,48MP + 8MP | 32MP + 8MP Dual Front Camera,,16.36 cm (6.44 inch) Full HD+ Display,4115 mAh Battery,"₹21,999",https://www.flipkart.com/oneplus-nord-blue-marble-256-gb/p/itm3f93c90430130?pid=MOBFUE5HUU5ZYGRY&lid=LSTMOBFUE5HUU5ZYGRY4ZWZZN&marketplace=FLIPKART&q=Oneplus+Nord%2C+pixel+4A&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=5f1e0d25-8c85-48ae-a0a2-1be8c7f7d913.MOBFUE5HUU5ZYGRY.SEARCH&ppt=hp&ppn=homepage&ssid=p5u4rj61c00000001708694072821&qH=51e22a8c2f127b5e
6,OnePlus,"OnePlus Nord (Gray Onyx, 64 GB)  (6 GB RAM)",Gray Onyx,-,-,48MP + 8MP | 32MP + 8MP Dual Front Camera,,16.36 cm (6.44 inch) Full HD+ Display,4115 mAh Battery,"₹22,689",https://www.flipkart.com/oneplus-nord-gray-onyx-64-gb/p/itm49f817b591982?pid=MOBFUE5H57THFNVJ&lid=LSTMOBFUE5H57THFNVJ8QEWXD&marketplace=FLIPKART&q=Oneplus+Nord%2C+pixel+4A&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=5f1e0d25-8c85-48ae-a0a2-1be8c7f7d913.MOBFUE5H57THFNVJ.SEARCH&ppt=hp&ppn=homepage&ssid=p5u4rj61c00000001708694072821&qH=51e22a8c2f127b5e
7,OnePlus,"OnePlus Nord (Blue Marble, 64 GB)  (6 GB RAM)",Blue Marble,-,-,48MP + 8MP | 32MP + 8MP Dual Front Camera,,16.36 cm (6.44 inch) Full HD+ Display,4115 mAh Battery,"₹22,980",https://www.flipkart.com/oneplus-nord-blue-marble-64-gb/p/itm49f817b591982?pid=MOBFUE5N7KAGZHHC&lid=LSTMOBFUE5N7KAGZHHCUOBN3W&marketplace=FLIPKART&q=Oneplus+Nord%2C+pixel+4A&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=5f1e0d25-8c85-48ae-a0a2-1be8c7f7d913.MOBFUE5N7KAGZHHC.SEARCH&ppt=hp&ppn=homepage&ssid=p5u4rj61c00000001708694072821&qH=51e22a8c2f127b5e
8,OnePlus,"OnePlus Nord (Gray Onyx, 256 GB)  (12 GB RAM)",Gray Onyx,-,-,48MP + 8MP | 32MP + 8MP Dual Front Camera,,16.36 cm (6.44 inch) Full HD+ Display,4115 mAh Battery,"₹22,999",https://www.flipkart.com/oneplus-nord-gray-onyx-256-gb/p/itm49f817b591982?pid=MOBFUE5GGWHFC37J&lid=LSTMOBFUE5GGWHFC37JNXZLYZ&marketplace=FLIPKART&q=Oneplus+Nord%2C+pixel+4A&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=5f1e0d25-8c85-48ae-a0a2-1be8c7f7d913.MOBFUE5GGWHFC37J.SEARCH&ppt=hp&ppn=homepage&ssid=p5u4rj61c00000001708694072821&qH=51e22a8c2f127b5e
9,OnePlus,"OnePlus Nord CE 2 5G (Gray Mirror, 128 GB)  (6 GB RAM)",Gray Mirror,-,-,64MP Rear Camera | 16MP Front Camera,-,16.33 cm (6.43 inch) Display,4500 mAh Battery,-,https://www.flipkart.com/oneplus-nord-ce-2-5g-gray-mirror-128-gb/p/itme3c94dc3fc910?pid=MOBGJMUHX7ACJ44Z&lid=LSTMOBGJMUHX7ACJ44ZUMG0PU&marketplace=FLIPKART&q=Oneplus+Nord%2C+pixel+4A&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=5f1e0d25-8c85-48ae-a0a2-1be8c7f7d913.MOBGJMUHX7ACJ44Z.SEARCH&ppt=hp&ppn=homepage&ssid=p5u4rj61c00000001708694072821&qH=51e22a8c2f127b5e
